,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
32,"SVC(C=10.0, gamma=0.001)",0.1,10.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 0.1, 'classifier__gamma': 10.0}",0.1154,40,0.1637,0.6519,4,0.6678,-0.3542,41,-0.336,0.5797,72,0.5894
33,"SVC(C=10.0, gamma=0.001)",0.1,100.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 0.1, 'classifier__gamma': 100.0}",0.1106,54,0.1637,0.6383,42,0.6656,-0.3558,52,-0.3313,0.5879,33,0.601
34,"SVC(C=10.0, gamma=0.001)",0.1,1000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 0.1, 'classifier__gamma': 1000.0}",0.1106,54,0.1637,0.6383,42,0.6655,-0.3558,52,-0.331,0.5879,33,0.6019
35,"SVC(C=10.0, gamma=0.001)",0.1,10000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 0.1, 'classifier__gamma': 10000.0}",0.1106,54,0.1637,0.6383,42,0.6655,-0.3558,52,-0.331,0.5879,33,0.6019
36,"SVC(C=10.0, gamma=0.001)",1.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 0.0001}",0.1178,21,0.1557,0.6454,28,0.6636,-0.3527,18,-0.336,0.5885,18,0.592
37,"SVC(C=10.0, gamma=0.001)",1.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 0.001}",0.1178,21,0.1557,0.6454,28,0.6636,-0.3527,18,-0.336,0.5885,18,0.592
38,"SVC(C=10.0, gamma=0.001)",1.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 0.01}",0.1779,3,0.2139,0.6575,3,0.6742,-0.3229,3,-0.3084,0.6085,7,0.6184
39,"SVC(C=10.0, gamma=0.001)",1.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 0.1}",0.1585,4,0.5812,0.6483,23,0.8274,-0.3245,4,-0.155,0.6096,4,0.7949
40,"SVC(C=10.0, gamma=0.001)",1.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 1.0}",0.1153,50,0.9976,0.6498,22,0.9995,-0.3551,51,-0.0004,0.5798,71,0.9991
41,"SVC(C=10.0, gamma=0.001)",1.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 10.0}",0.1154,40,0.9976,0.6519,4,0.9995,-0.3542,41,-0.0004,0.5797,72,0.9991
42,"SVC(C=10.0, gamma=0.001)",1.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 100.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
43,"SVC(C=10.0, gamma=0.001)",1.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 1000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
44,"SVC(C=10.0, gamma=0.001)",1.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 10000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
45,"SVC(C=10.0, gamma=0.001)",10.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 0.0001}",0.1178,21,0.1557,0.6454,28,0.6636,-0.3527,18,-0.336,0.5885,18,0.592
