,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss
27,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3025,35,-0.2061,-0.2145,15,-0.1372
28,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3001,24,-0.1979,-0.2097,7,-0.1349
29,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.2849,1,-0.1916,-0.2018,1,-0.1298
30,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.35,120,-0.2956,-0.2931,109,-0.2279
31,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3361,103,-0.261,-0.2482,82,-0.1834
32,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.2985,19,-0.2415,-0.2241,56,-0.1631
33,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.2968,13,-0.23,-0.2215,52,-0.1547
34,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3012,27,-0.2164,-0.2182,36,-0.1483
35,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3021,32,-0.2099,-0.2156,22,-0.1452
36,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3254,90,-0.265,-0.2497,85,-0.1911
37,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3101,60,-0.2468,-0.2275,64,-0.1678
38,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3085,54,-0.2271,-0.2249,60,-0.1522
39,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.2865,2,-0.2103,-0.2041,2,-0.1404
40,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.2937,5,-0.2061,-0.2121,9,-0.1393
41,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.2953,9,-0.2023,-0.2121,10,-0.1385
42,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3275,92,-0.2568,-0.2478,81,-0.1756
43,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3193,77,-0.2319,-0.2287,66,-0.1536
44,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3026,36,-0.2145,-0.2179,33,-0.1463
45,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3041,40,-0.2066,-0.2156,21,-0.1377
46,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.2972,14,-0.2003,-0.2165,30,-0.1364
47,"RandomForestClassifier(max_depth=4, n_estimators=64)",4,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.2893,3,-0.1954,-0.2079,4,-0.1331
48,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3705,134,-0.1686,-0.3822,129,-0.1157
49,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3466,117,-0.1054,-0.292,108,-0.0537
50,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3306,94,-0.0595,-0.2526,87,-0.0259
51,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3121,67,-0.0379,-0.2265,63,-0.0148
52,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.2958,10,-0.0253,-0.2129,12,-0.0105
53,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.2994,22,-0.0192,-0.207,3,-0.0072
54,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3679,132,-0.2935,-0.4313,132,-0.3129
55,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3509,122,-0.2513,-0.3412,116,-0.2107
56,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3372,106,-0.2002,-0.2642,97,-0.1361
57,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3241,86,-0.1657,-0.2352,74,-0.0976
58,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3126,68,-0.1425,-0.2288,67,-0.0852
59,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3048,43,-0.1256,-0.2213,50,-0.0727
60,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3729,135,-0.2395,-0.4102,131,-0.2156
61,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3414,111,-0.1714,-0.2941,110,-0.1121
