,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss
95,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3018,29,-0.0027,-0.2182,35,-0.0004
96,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3604,129,-0.1511,-0.4572,134,-0.1284
97,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3423,113,-0.0717,-0.3469,118,-0.0398
98,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3378,107,-0.0229,-0.2961,112,-0.0072
99,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.316,73,-0.006,-0.2487,83,-0.0018
100,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3353,100,-0.0012,-0.2572,91,-0.0
101,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.2993,20,-0.0005,-0.216,26,0.0
102,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.382,142,-0.2924,-0.4641,137,-0.3327
103,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3543,127,-0.2451,-0.3726,128,-0.2222
104,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3337,97,-0.1927,-0.2979,113,-0.1409
105,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3241,87,-0.1574,-0.2561,90,-0.0991
106,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3104,61,-0.1269,-0.2339,73,-0.0754
107,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3085,55,-0.1117,-0.225,61,-0.0617
108,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3897,144,-0.2374,-0.4859,144,-0.2545
109,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3475,118,-0.1702,-0.3498,120,-0.1281
110,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3348,98,-0.103,-0.2886,102,-0.0621
111,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3085,56,-0.0628,-0.2465,80,-0.0275
112,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.2993,21,-0.0382,-0.2186,40,-0.0144
113,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.2973,15,-0.0234,-0.2223,54,-0.007
114,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3882,143,-0.1907,-0.4852,143,-0.1834
115,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3519,123,-0.1098,-0.3565,122,-0.0711
116,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3363,104,-0.0496,-0.2886,103,-0.022
117,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3218,82,-0.0192,-0.2491,84,-0.0058
118,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3009,25,-0.0078,-0.2219,53,-0.0025
119,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3057,47,-0.0035,-0.2136,14,-0.0003
120,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3689,133,-0.1529,-0.4678,139,-0.1278
121,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.358,128,-0.0712,-0.3714,127,-0.037
122,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3426,114,-0.0241,-0.2909,107,-0.0079
123,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3281,93,-0.0054,-0.2515,86,-0.0014
124,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3064,49,-0.0013,-0.2283,65,-0.0002
125,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.309,58,-0.0004,-0.2197,42,0.0
126,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3649,131,-0.2984,-0.4613,135,-0.3409
127,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3482,119,-0.2477,-0.3656,125,-0.2253
128,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3193,76,-0.1976,-0.2859,101,-0.1431
129,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3221,83,-0.1571,-0.2601,95,-0.1001
130,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3211,80,-0.1276,-0.2399,77,-0.0724
131,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3022,33,-0.1154,-0.2206,47,-0.0662
132,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3751,139,-0.2392,-0.4729,140,-0.2532
133,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3413,110,-0.1617,-0.3497,119,-0.1254
134,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3185,75,-0.1041,-0.2789,100,-0.0629
135,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3369,105,-0.0632,-0.2702,99,-0.0295
136,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3073,53,-0.0397,-0.2232,55,-0.014
137,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3073,52,-0.0253,-0.2146,16,-0.0085
138,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3749,138,-0.1952,-0.4545,133,-0.1822
139,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3541,126,-0.1066,-0.3637,124,-0.0705
140,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3358,102,-0.0502,-0.2895,106,-0.0247
141,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3249,89,-0.0186,-0.2647,98,-0.0061
142,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3205,79,-0.0075,-0.2318,71,-0.0016
143,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3042,41,-0.0028,-0.2189,41,-0.0004

,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss
0,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3379,88,-0.3102,-0.2229,70,-0.2048
1,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3062,1,-0.2931,-0.2167,40,-0.202
2,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3209,19,-0.2864,-0.2115,17,-0.2043
3,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3234,28,-0.2791,-0.2154,35,-0.2023
4,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3265,51,-0.2781,-0.2158,37,-0.204
5,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.3179,15,-0.2675,-0.2147,34,-0.2051
6,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.25,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3495,121,-0.3266,-0.2225,68,-0.2136
7,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.25,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.349,116,-0.3097,-0.221,61,-0.2094
8,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.25,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3216,21,-0.3013,-0.2129,23,-0.2077
9,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.25,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.324,32,-0.288,-0.2174,42,-0.2071
10,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.25,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3177,14,-0.2801,-0.2175,44,-0.2063
11,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.25,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3229,27,-0.2814,-0.218,46,-0.2074
12,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.5,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3385,90,-0.3111,-0.2273,74,-0.2074
13,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.5,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3168,12,-0.3019,-0.2117,18,-0.206
14,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.5,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3245,39,-0.2898,-0.2217,65,-0.2025
15,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.5,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3365,82,-0.2865,-0.2167,41,-0.2033
16,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.5,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3242,36,-0.2798,-0.2146,33,-0.207
17,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.5,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3218,22,-0.2731,-0.2157,36,-0.2068
18,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.75,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3278,55,-0.3009,-0.2242,72,-0.2007
19,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.75,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3069,2,-0.2979,-0.2096,12,-0.2026
20,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.75,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3242,35,-0.2942,-0.2132,27,-0.2071
21,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.75,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3141,7,-0.2801,-0.2122,21,-0.2008
22,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.75,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3166,11,-0.2759,-0.2175,43,-0.2045
23,"RandomForestClassifier(max_depth=8, n_estimators=64)",2,0.75,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.319,18,-0.2736,-0.214,30,-0.2058
24,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.332,72,-0.2766,-0.2191,53,-0.1826
25,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3235,29,-0.2575,-0.2108,15,-0.1702
26,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3288,58,-0.2297,-0.2207,60,-0.1609
27,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.329,60,-0.216,-0.2135,28,-0.1621
28,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3134,6,-0.202,-0.2083,10,-0.1572
29,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.3146,9,-0.1974,-0.2075,7,-0.156
30,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.25,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3563,136,-0.3141,-0.2487,96,-0.2159
31,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.25,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3369,85,-0.2941,-0.2328,82,-0.1905
32,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.25,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3298,64,-0.2707,-0.2216,64,-0.1777
33,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.25,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.322,25,-0.2452,-0.21,13,-0.1716
34,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.25,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3145,8,-0.2243,-0.2129,24,-0.17
35,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.25,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3123,4,-0.2152,-0.2145,32,-0.1672
36,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.5,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3493,119,-0.2997,-0.2379,87,-0.1965
37,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.5,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3389,92,-0.2744,-0.2185,52,-0.1785
38,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.5,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.331,68,-0.2477,-0.2204,59,-0.1691
39,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.5,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3308,66,-0.2254,-0.2103,14,-0.1658
40,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.5,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3229,26,-0.2124,-0.2078,9,-0.1632
41,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.5,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3189,17,-0.1991,-0.2078,8,-0.161
42,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.75,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3454,112,-0.2894,-0.2182,48,-0.1878
43,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.75,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3379,87,-0.2569,-0.2185,51,-0.1684
44,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.75,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3277,54,-0.2346,-0.2214,63,-0.1647
45,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.75,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3166,10,-0.224,-0.2074,6,-0.162
46,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.75,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3246,41,-0.2033,-0.203,2,-0.1566
47,"RandomForestClassifier(max_depth=8, n_estimators=64)",4,0.75,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3281,56,-0.1989,-0.2069,5,-0.1571
