,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss
72,"SVC(C=0.0001, gamma=0.0001)",10000.0,0.0001,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 0.0001}",0.1033,81,0.8339,0.6166,78,0.9311,-0.3362,12,-0.0596
73,"SVC(C=0.0001, gamma=0.0001)",10000.0,0.001,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 0.001}",0.1177,76,0.9872,0.616,80,0.9955,-0.3363,13,-0.0038
74,"SVC(C=0.0001, gamma=0.0001)",10000.0,0.01,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 0.01}",0.1176,77,0.9976,0.6222,76,0.9995,-0.3347,10,-0.0004
75,"SVC(C=0.0001, gamma=0.0001)",10000.0,0.1,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 0.1}",0.1416,5,0.9976,0.6351,69,0.9995,-0.333,5,-0.0004
76,"SVC(C=0.0001, gamma=0.0001)",10000.0,1.0,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 1.0}",0.1249,11,0.9976,0.6624,61,0.9995,-0.3559,19,-0.0004
77,"SVC(C=0.0001, gamma=0.0001)",10000.0,10.0,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 10.0}",0.1225,16,0.9976,0.6631,1,0.9995,-0.3562,23,-0.0004
78,"SVC(C=0.0001, gamma=0.0001)",10000.0,100.0,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 100.0}",0.1225,16,0.9976,0.6631,1,0.9995,-0.3562,23,-0.0004
79,"SVC(C=0.0001, gamma=0.0001)",10000.0,1000.0,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 1000.0}",0.1225,16,0.9976,0.6631,1,0.9995,-0.3562,23,-0.0004
80,"SVC(C=0.0001, gamma=0.0001)",10000.0,10000.0,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10000.0, 'classifier__gamma': 10000.0}",0.1225,16,0.9976,0.6631,1,0.9995,-0.3562,23,-0.0004

,accuracy,f1_micro,hamming_loss,model
