,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score,model
3,DecisionTreeClassifier(),{'classifier': DecisionTreeClassifier()},0.1055,4,0.9976,0.5701,4,0.9995,0.6294,4,1.0,0.5182,4,1.0,0.6003,4,1.0,label_powerset

,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score,model
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1564,1,0.9976,0.6449,1,0.9995,0.7857,1,1.0,0.7086,1,1.0,0.7982,2,1.0,label_powerset
1,MultinomialNB(),{'classifier': MultinomialNB()},0.1492,2,0.3555,0.6368,2,0.7178,0.779,2,0.8564,0.7024,2,0.8094,0.799,1,0.855,label_powerset
2,KNeighborsClassifier(),{'classifier': KNeighborsClassifier()},0.1347,3,0.355,0.6198,3,0.7237,0.7319,3,0.8672,0.6218,3,0.7947,0.7231,3,0.8285,label_powerset
3,DecisionTreeClassifier(),{'classifier': DecisionTreeClassifier()},0.1055,4,0.9976,0.5701,4,0.9995,0.6294,4,1.0,0.5182,4,1.0,0.6003,4,1.0,label_powerset

,accuracy,f1_micro,roc_auc,average_precision,label_ranking_average_precision_score,model
0,0.1799,0.6592,0.7799,0.6784,0.778,binary_relevance
0,0.2014,0.6711,0.773,0.6773,0.7824,classifier_chain
0,0.1727,0.6596,0.7835,0.6744,0.7863,label_powerset

,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score,model
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1203,2,0.9976,0.6533,1,0.9995,0.7804,2,1.0,0.704,1,1.0,0.7954,1,1.0,binary_relevance
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1657,1,0.9976,0.662,1,0.9995,0.776,1,1.0,0.6962,1,1.0,0.7933,1,1.0,classifier_chain
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1564,1,0.9976,0.6449,1,0.9995,0.7857,1,1.0,0.7086,1,1.0,0.7982,2,1.0,label_powerset

