,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,model
,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,model
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1682,1,0.9976,0.6364,3,0.9995,-0.3241,3,-0.0004,label_powerset
1,MultinomialNB(),{'classifier': MultinomialNB()},0.1492,2,0.3555,0.6368,2,0.7178,-0.3213,1,-0.2452,label_powerset
2,KNeighborsClassifier(),{'classifier': KNeighborsClassifier()},0.1347,4,0.355,0.6198,4,0.7237,-0.3409,4,-0.2502,label_powerset
3,LinearSVC(),{'classifier': LinearSVC()},0.0938,6,0.614,0.5625,6,0.8227,-0.3652,6,-0.1508,label_powerset
4,SVC(),{'classifier': SVC()},0.1489,3,0.5366,0.6554,1,0.8138,-0.3229,2,-0.1692,label_powerset
5,DecisionTreeClassifier(),{'classifier': DecisionTreeClassifier()},0.1056,5,0.9976,0.5799,5,0.9995,-0.3563,5,-0.0004,label_powerset

,accuracy,f1_micro,hamming_loss,model
0,0.1583,0.6648,-0.2878,binary_relevance
0,0.259,0.6879,-0.2818,classifier_chain
0,0.259,0.6903,-0.3034,label_powerset

,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,model
4,SVC(),{'classifier': SVC()},0.1445,1,0.4543,0.6602,1,0.8406,-0.2916,1,-0.1376,binary_relevance
4,SVC(),{'classifier': SVC()},0.1684,1,0.5069,0.6724,1,0.8499,-0.2925,1,-0.1323,classifier_chain
4,SVC(),{'classifier': SVC()},0.1489,3,0.5366,0.6554,1,0.8138,-0.3229,2,-0.1692,label_powerset

