,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score
84,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.0625,134,0.2318,0.4291,143,0.6607,0.6472,143,0.84,0.5312,143,0.7392,0.6286,139,0.7922
85,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1013,109,0.4111,0.5377,121,0.7894,0.7119,120,0.9133,0.59,123,0.8499,0.6961,124,0.8795
86,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1081,106,0.5943,0.5598,115,0.8753,0.7208,116,0.9622,0.6101,113,0.9365,0.7218,115,0.9432
87,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1398,55,0.7393,0.6141,95,0.9265,0.7582,82,0.9816,0.6577,87,0.9727,0.7602,96,0.9706
88,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1467,43,0.8299,0.6262,81,0.9555,0.7618,71,0.992,0.6708,72,0.9894,0.7832,70,0.986
89,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1731,5,0.8742,0.668,2,0.9677,0.78,22,0.9951,0.6962,30,0.994,0.8029,1,0.9891
90,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.0602,139,0.3325,0.424,144,0.7334,0.6549,141,0.8893,0.5345,142,0.8108,0.6267,140,0.8432
91,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1013,109,0.563,0.5466,118,0.8579,0.7223,114,0.9542,0.5996,117,0.9177,0.7081,118,0.9305
92,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1132,99,0.774,0.6046,100,0.9373,0.7444,97,0.987,0.6286,102,0.9772,0.7487,103,0.9743
93,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1372,60,0.9129,0.6244,85,0.9783,0.756,88,0.9975,0.656,88,0.9962,0.7656,91,0.9932
94,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1682,6,0.965,0.6572,16,0.9918,0.7695,54,0.9993,0.6796,62,0.9991,0.7829,71,0.9978
95,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1516,31,0.9834,0.6633,7,0.9965,0.7754,41,1.0,0.6881,48,0.9999,0.8003,4,0.9997
96,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.0602,138,0.4578,0.4604,137,0.8028,0.6634,137,0.9248,0.5434,137,0.8647,0.6353,138,0.8875
97,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.0888,119,0.7046,0.5355,123,0.9115,0.7091,122,0.9808,0.5909,121,0.9625,0.7015,121,0.9626
98,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1203,89,0.8934,0.5918,104,0.9726,0.733,107,0.9966,0.6256,104,0.9938,0.7465,104,0.9924
99,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1272,79,0.9733,0.6237,87,0.9941,0.7606,73,0.9998,0.6588,86,0.9996,0.7686,88,0.9991
100,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1177,93,0.9947,0.6294,79,0.999,0.7601,75,1.0,0.667,75,1.0,0.7834,69,1.0
101,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1273,78,0.9971,0.634,71,0.9994,0.7686,58,1.0,0.6877,49,1.0,0.7881,46,1.0
102,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.0625,133,0.144,0.4607,135,0.578,0.6659,136,0.766,0.5431,138,0.6478,0.6412,136,0.7197
103,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.0841,124,0.2155,0.5239,127,0.6725,0.6993,129,0.8371,0.5823,128,0.7412,0.6866,130,0.8009
104,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.0986,112,0.3272,0.5872,106,0.7581,0.7339,104,0.8879,0.6203,108,0.8245,0.7325,110,0.8617
105,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1153,97,0.4351,0.6237,86,0.8137,0.7621,69,0.9208,0.6638,80,0.8834,0.7631,94,0.9049
106,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1203,89,0.519,0.6314,75,0.8497,0.7655,66,0.9389,0.6781,64,0.917,0.779,75,0.9247
107,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1636,10,0.5572,0.6561,17,0.8692,0.7781,31,0.9501,0.6948,35,0.9381,0.7959,19,0.9384
108,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.0503,142,0.2364,0.4514,140,0.6542,0.6582,140,0.8361,0.5379,140,0.7333,0.6261,142,0.7879
109,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.0795,127,0.3947,0.5102,131,0.7862,0.7035,125,0.914,0.5888,124,0.8509,0.6864,131,0.8835
110,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1131,100,0.5788,0.5746,113,0.8662,0.7262,109,0.9565,0.6147,111,0.9275,0.7262,113,0.9355
111,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1179,91,0.739,0.6231,88,0.9284,0.755,89,0.9828,0.6552,89,0.9746,0.7588,97,0.9725
112,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1274,77,0.8283,0.6432,52,0.9553,0.7667,61,0.992,0.6773,66,0.9895,0.7876,51,0.9853
113,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1586,17,0.8785,0.6529,27,0.9703,0.7749,43,0.9956,0.69,43,0.9946,0.7925,27,0.9912
114,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.0724,131,0.3317,0.4742,133,0.7361,0.675,134,0.8878,0.5584,133,0.809,0.6442,134,0.8462
115,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.0937,116,0.5881,0.5539,116,0.8676,0.7122,119,0.9574,0.5906,122,0.9229,0.6935,127,0.9318
116,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1107,102,0.7973,0.6035,101,0.9432,0.7441,98,0.9885,0.6319,98,0.9799,0.7497,101,0.9785
117,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.13,72,0.9127,0.6252,83,0.9782,0.7597,76,0.9975,0.662,82,0.9961,0.7739,82,0.9941
118,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1416,54,0.965,0.6457,48,0.9916,0.7697,53,0.9994,0.6807,58,0.9993,0.7769,79,0.9978
119,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",32,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1659,8,0.9824,0.6534,25,0.9963,0.7783,30,0.9999,0.6993,20,0.9999,0.7988,8,0.9997
120,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.0795,128,0.4444,0.4653,134,0.8018,0.6612,138,0.9262,0.5438,136,0.8672,0.6369,137,0.8863
121,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.094,115,0.7083,0.5273,126,0.9119,0.7162,118,0.9796,0.604,115,0.9595,0.7123,116,0.9615
122,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1397,56,0.8996,0.5946,103,0.9737,0.7346,101,0.9966,0.6284,103,0.9939,0.7402,106,0.9924
123,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1298,74,0.9749,0.6244,84,0.9942,0.7579,83,0.9998,0.6537,90,0.9996,0.7743,81,0.9987
124,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1442,48,0.9923,0.6465,45,0.9982,0.7786,29,1.0,0.6943,36,1.0,0.7959,18,0.9999
125,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1463,45,0.9973,0.6506,34,0.9995,0.769,56,1.0,0.6806,59,1.0,0.7841,67,1.0
126,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.0434,143,0.1338,0.4579,138,0.5642,0.6526,142,0.7669,0.5368,141,0.6481,0.6229,144,0.7194
127,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.0843,122,0.2342,0.5291,124,0.6826,0.7034,126,0.8361,0.5788,129,0.7419,0.7016,120,0.8045
128,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1085,104,0.3365,0.5834,108,0.7618,0.7343,102,0.8871,0.6212,107,0.8242,0.7355,109,0.8653
129,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1466,44,0.4311,0.6385,62,0.815,0.7663,64,0.9209,0.6673,74,0.885,0.7702,85,0.9033
130,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1566,20,0.52,0.6462,47,0.8517,0.7741,45,0.9387,0.6868,51,0.9185,0.7857,60,0.9254
131,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1781,2,0.5585,0.653,26,0.8714,0.773,46,0.9505,0.6854,53,0.9382,0.7849,65,0.9396
132,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.0601,140,0.239,0.4352,142,0.6575,0.6434,144,0.8328,0.528,144,0.7312,0.624,143,0.7884
133,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.0845,121,0.394,0.5411,120,0.7793,0.7084,124,0.9117,0.5917,120,0.8507,0.6957,125,0.8777
134,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.142,50,0.5889,0.5989,102,0.8735,0.7456,95,0.9591,0.6359,97,0.933,0.754,98,0.9403
135,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1082,105,0.738,0.6104,96,0.9275,0.7524,91,0.9825,0.6502,93,0.9743,0.7635,93,0.9713
136,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1275,76,0.8296,0.6437,49,0.9555,0.7691,55,0.9924,0.68,61,0.9899,0.7883,44,0.9854
137,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1443,47,0.8715,0.6624,8,0.9688,0.7764,38,0.9957,0.6909,40,0.9947,0.7974,15,0.9911
138,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.0674,132,0.3325,0.4931,132,0.7383,0.6831,132,0.8881,0.5689,132,0.8087,0.6496,132,0.8416
139,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.0866,120,0.558,0.5446,119,0.8583,0.7089,123,0.9564,0.5887,125,0.9208,0.699,122,0.9304
140,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1226,87,0.7807,0.5823,109,0.9388,0.7335,106,0.9884,0.6299,99,0.9796,0.7362,108,0.9778
141,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1418,52,0.9041,0.6345,67,0.9764,0.7621,70,0.9971,0.662,83,0.9957,0.7775,76,0.9933
142,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1178,92,0.965,0.6302,78,0.9917,0.7637,67,0.9994,0.6675,73,0.9993,0.7771,77,0.9987
143,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",64,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1541,28,0.9808,0.6547,21,0.996,0.7769,37,0.9999,0.6907,42,0.9999,0.8018,2,0.9992

,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score
0,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.1421,67,0.2014,0.6403,42,0.6657,0.7645,86,0.786,0.6752,80,0.7007,0.7867,54,0.7959
1,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1538,46,0.2182,0.6401,43,0.6757,0.7689,74,0.7967,0.6831,68,0.7157,0.7866,55,0.7992
2,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1945,1,0.2452,0.67,2,0.6931,0.7884,2,0.8036,0.7122,3,0.7285,0.7941,8,0.7998
3,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1585,37,0.2492,0.6629,7,0.7003,0.7846,22,0.804,0.7005,34,0.7315,0.7931,14,0.797
4,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1807,2,0.2527,0.6761,1,0.7012,0.7861,12,0.8059,0.7063,15,0.7367,0.7895,39,0.7964
5,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1779,4,0.2655,0.6656,5,0.7084,0.7864,9,0.8073,0.708,11,0.7388,0.7902,29,0.7959
6,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.25,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.1418,71,0.1707,0.614,113,0.6273,0.7532,100,0.7716,0.658,97,0.6822,0.7732,86,0.7873
7,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.25,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1491,52,0.1928,0.6285,69,0.6516,0.766,81,0.7835,0.6788,73,0.7004,0.7858,58,0.7922
8,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.25,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.13,93,0.2158,0.6284,70,0.6737,0.773,62,0.7941,0.699,35,0.7132,0.7844,64,0.7957
9,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.25,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.125,110,0.2372,0.631,61,0.6852,0.774,59,0.7983,0.6956,48,0.7237,0.786,57,0.7949
10,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.25,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1416,76,0.2396,0.64,44,0.6923,0.7807,38,0.8007,0.6947,49,0.7279,0.7875,48,0.7919
11,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.25,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1466,56,0.2588,0.6609,8,0.7036,0.7832,30,0.8041,0.71,7,0.7344,0.7872,51,0.7946
