,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score
32,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1156,95,0.2334,0.6261,82,0.7203,0.7584,81,0.8382,0.6645,78,0.7783,0.7771,78,0.8417
33,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1564,21,0.2719,0.6535,24,0.7396,0.7764,39,0.8534,0.6882,47,0.8032,0.7952,21,0.8496
34,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1587,14,0.2903,0.6553,19,0.7505,0.7799,23,0.8601,0.6938,37,0.8156,0.7904,36,0.8513
35,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1566,19,0.3122,0.6479,39,0.76,0.7789,28,0.8659,0.6973,24,0.8256,0.7902,38,0.8571
36,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.0936,117,0.1843,0.6103,97,0.6843,0.7374,100,0.8042,0.6293,100,0.7233,0.7676,89,0.8158
37,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1491,37,0.2391,0.6377,64,0.717,0.7586,79,0.8337,0.6782,63,0.7727,0.7795,73,0.8391
38,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1564,23,0.2791,0.6619,10,0.7435,0.7761,40,0.8564,0.6912,39,0.8061,0.7864,55,0.8529
39,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1471,40,0.3072,0.6528,28,0.7583,0.7809,19,0.8674,0.7114,2,0.825,0.7978,9,0.8618
40,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1756,3,0.3221,0.6583,15,0.7681,0.7829,15,0.8734,0.6965,26,0.8356,0.7975,12,0.8661
41,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1516,32,0.3443,0.6662,5,0.7744,0.7864,4,0.8757,0.7078,6,0.8394,0.7953,20,0.8654
42,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1253,80,0.2051,0.6392,61,0.6987,0.7575,85,0.8164,0.6639,79,0.743,0.7797,72,0.8241
43,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1492,35,0.2535,0.6608,13,0.731,0.7713,50,0.8466,0.6836,54,0.7884,0.7943,23,0.8453
44,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1492,35,0.2772,0.6382,63,0.7454,0.7677,60,0.8574,0.6965,27,0.8074,0.7976,10,0.8537
45,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1513,33,0.3168,0.6493,38,0.7642,0.7775,35,0.8707,0.7021,17,0.8292,0.7947,22,0.8646
46,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1542,26,0.3411,0.6515,30,0.7776,0.7792,27,0.8796,0.7013,18,0.8431,0.7915,33,0.871
