,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
102,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.0552,144,0.121,0.4054,144,0.5454,-0.3987,144,-0.3084,0.5657,144,0.7458
103,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.089,124,0.2313,0.5252,128,0.6745,-0.3575,129,-0.2465,0.6153,128,0.7813
104,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1372,67,0.3309,0.5953,103,0.7575,-0.3263,97,-0.1965,0.6396,74,0.8085
105,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.13,78,0.4207,0.615,96,0.8053,-0.3174,83,-0.1636,0.6452,47,0.826
106,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1588,19,0.5109,0.6472,44,0.8504,-0.3016,34,-0.1286,0.654,26,0.8524
107,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1613,17,0.5502,0.6662,7,0.8666,-0.2895,2,-0.1164,0.6623,11,0.8553
108,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.0601,140,0.2326,0.4426,140,0.6683,-0.3798,140,-0.2374,0.6032,139,0.8384
109,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.0819,126,0.3972,0.5279,125,0.7827,-0.35,119,-0.1682,0.6313,99,0.8809
110,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1181,98,0.5783,0.5907,105,0.8717,-0.33,104,-0.1056,0.6364,83,0.9136
111,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1299,80,0.7393,0.6231,85,0.9257,-0.3176,84,-0.0632,0.6405,71,0.9372
112,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1418,62,0.8293,0.6401,64,0.9537,-0.3089,61,-0.0398,0.645,48,0.9581
113,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1466,53,0.8747,0.645,54,0.9688,-0.3113,66,-0.0269,0.6347,86,0.9694
114,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.0602,138,0.3502,0.4571,134,0.7406,-0.3777,138,-0.19,0.6095,134,0.8963
115,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.0894,123,0.5852,0.5369,121,0.8656,-0.3524,120,-0.1072,0.6175,124,0.9398
116,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.0894,122,0.7863,0.5583,115,0.9392,-0.3524,121,-0.0512,0.6066,136,0.9609
117,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1249,91,0.9004,0.6301,81,0.9751,-0.3118,68,-0.0214,0.6497,33,0.9795
118,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1539,34,0.9618,0.6411,61,0.9915,-0.3128,73,-0.0073,0.6354,85,0.9939
119,"RandomForestClassifier(max_depth=4, n_estimators=64)",32,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1539,34,0.9861,0.6646,9,0.9969,-0.294,12,-0.0026,0.6561,21,0.9982
120,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.0816,127,0.4412,0.4655,132,0.795,-0.369,132,-0.1534,0.6209,116,0.9362
121,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.0943,118,0.708,0.5277,126,0.9117,-0.3563,127,-0.0721,0.6188,120,0.9632
122,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1036,112,0.8894,0.5693,113,0.9724,-0.344,114,-0.0235,0.6198,117,0.9858
123,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1346,74,0.9733,0.6192,89,0.9942,-0.323,92,-0.005,0.6293,106,0.9972
124,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1563,26,0.9931,0.6575,19,0.9985,-0.297,18,-0.0013,0.6549,24,0.9988
125,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1563,27,0.9973,0.6461,50,0.9995,-0.3108,65,-0.0004,0.6343,87,0.9992
126,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.0577,141,0.1402,0.4366,143,0.5536,-0.3757,136,-0.3002,0.6179,122,0.7678
127,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.0671,133,0.2201,0.5259,127,0.6672,-0.3528,123,-0.2501,0.6303,102,0.7806
128,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.0985,115,0.3283,0.5881,108,0.7553,-0.3332,105,-0.1991,0.6327,94,0.8022
129,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1422,59,0.4458,0.617,92,0.819,-0.3193,87,-0.1525,0.6407,70,0.8376
130,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1398,64,0.512,0.6375,68,0.8479,-0.3137,77,-0.1318,0.6363,84,0.8433
131,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1369,70,0.5524,0.6492,38,0.8662,-0.3073,57,-0.117,0.6413,68,0.8534
132,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.0556,142,0.2305,0.4391,142,0.6647,-0.3783,139,-0.2377,0.612,132,0.8463
133,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1008,114,0.4049,0.5252,129,0.782,-0.3526,122,-0.1695,0.6293,107,0.8764
134,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1251,89,0.5782,0.5802,110,0.8675,-0.3345,107,-0.109,0.6318,97,0.9098
135,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1418,61,0.73,0.6168,93,0.9237,-0.3237,95,-0.0648,0.6333,92,0.9369
136,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1566,25,0.8328,0.656,24,0.9571,-0.2991,25,-0.0368,0.6508,31,0.9607
137,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1657,13,0.8763,0.6533,31,0.9702,-0.3033,43,-0.0256,0.6445,51,0.9717
138,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.0624,137,0.3389,0.4493,136,0.7344,-0.3717,134,-0.1939,0.6155,127,0.8946
139,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1058,110,0.5518,0.547,117,0.8534,-0.3406,112,-0.1166,0.6428,57,0.9304
140,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.111,103,0.7773,0.5886,107,0.9369,-0.3347,108,-0.053,0.6265,109,0.9601
141,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1348,73,0.9108,0.6186,91,0.9781,-0.3204,89,-0.0187,0.6336,91,0.9844
142,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1517,38,0.965,0.6403,63,0.992,-0.3123,71,-0.0069,0.6387,79,0.9946
143,"RandomForestClassifier(max_depth=4, n_estimators=64)",64,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1515,41,0.9818,0.6545,26,0.9961,-0.3024,37,-0.0033,0.6457,45,0.9971

,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
0,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.1686,16,0.2051,0.6233,74,0.646,-0.33,60,-0.3092,0.6184,23,0.6364
1,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1614,30,0.2302,0.638,38,0.6834,-0.3259,42,-0.2871,0.6112,53,0.6517
2,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1926,2,0.2385,0.6571,10,0.69,-0.3164,13,-0.2834,0.6179,25,0.6529
3,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1563,45,0.2521,0.6547,13,0.6939,-0.3182,16,-0.2794,0.6176,26,0.6574
4,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1562,47,0.2628,0.666,2,0.702,-0.3118,8,-0.2745,0.6212,15,0.66
5,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1563,43,0.2631,0.6535,15,0.7073,-0.3198,21,-0.2696,0.6161,30,0.6653
6,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.1342,95,0.1832,0.6396,31,0.6405,-0.3327,70,-0.326,0.6023,80,0.6117
7,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1228,112,0.2059,0.6079,124,0.6575,-0.3549,128,-0.3129,0.5817,127,0.6218
8,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1422,75,0.2292,0.6319,58,0.6744,-0.3359,74,-0.294,0.6061,72,0.6463
9,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1443,70,0.2463,0.647,23,0.693,-0.3249,38,-0.2841,0.6068,69,0.649
10,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1466,61,0.2545,0.6424,29,0.6967,-0.3266,48,-0.2752,0.6123,50,0.6629
11,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1633,29,0.2471,0.6496,20,0.6925,-0.3227,30,-0.2847,0.6133,41,0.6487
12,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1729,11,0.1928,0.6586,6,0.6638,-0.3086,4,-0.3045,0.6259,6,0.6346
13,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1517,52,0.2115,0.6394,33,0.6646,-0.3281,54,-0.3031,0.6106,56,0.6349
14,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1611,34,0.2353,0.6595,5,0.6858,-0.315,10,-0.2943,0.6186,22,0.6349
15,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1661,24,0.25,0.6532,16,0.6941,-0.3225,29,-0.2828,0.6111,54,0.6503
16,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1586,37,0.2631,0.653,18,0.7009,-0.3207,25,-0.2752,0.6113,52,0.6593
17,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1684,20,0.266,0.6551,12,0.7079,-0.3216,27,-0.2709,0.613,43,0.6614
18,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1614,30,0.2033,0.6205,92,0.6537,-0.3319,65,-0.3042,0.6105,57,0.6411
19,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1417,80,0.2193,0.6388,36,0.6681,-0.3278,53,-0.3003,0.6125,48,0.637
20,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1732,9,0.2407,0.666,3,0.6908,-0.3094,5,-0.2824,0.623,10,0.6551
21,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1712,12,0.2513,0.6562,11,0.694,-0.3112,7,-0.2804,0.6212,14,0.6557
22,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1926,2,0.2604,0.669,1,0.7031,-0.3059,2,-0.2739,0.6266,5,0.6598
23,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",2,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1707,15,0.261,0.6583,7,0.7057,-0.3178,15,-0.2721,0.6152,35,0.6615
24,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.1322,97,0.2829,0.6209,87,0.675,-0.3373,79,-0.285,0.603,77,0.6625
25,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1471,59,0.3381,0.6192,100,0.7119,-0.3327,69,-0.2511,0.6125,47,0.7038
26,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1347,89,0.3908,0.6379,39,0.7404,-0.3244,33,-0.2309,0.619,20,0.7182
27,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.171,13,0.4196,0.6531,17,0.7588,-0.316,11,-0.215,0.6216,13,0.7341
28,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1564,42,0.4466,0.6425,28,0.771,-0.3201,23,-0.2026,0.6209,16,0.7509
29,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1971,1,0.457,0.658,9,0.7794,-0.3098,6,-0.1969,0.6307,3,0.7532
30,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.1178,118,0.2201,0.6077,125,0.6485,-0.3491,116,-0.308,0.5923,107,0.6386
31,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1443,66,0.2452,0.6035,129,0.6526,-0.3429,102,-0.304,0.6009,83,0.6428
32,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.142,77,0.3146,0.6342,53,0.7022,-0.3297,58,-0.2659,0.6062,71,0.6786
33,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1442,71,0.3592,0.6504,19,0.728,-0.3196,20,-0.2444,0.6158,31,0.6988
34,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.149,56,0.3945,0.6366,48,0.7434,-0.3266,49,-0.2287,0.6124,49,0.719
35,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1563,43,0.4151,0.6465,24,0.7574,-0.3183,17,-0.2163,0.6218,12,0.7327
36,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1207,116,0.2516,0.6194,98,0.6684,-0.3343,73,-0.2933,0.6096,60,0.6518
