,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision,model
1,MultinomialNB(),{'classifier': MultinomialNB()},0.1376,2,0.3553,0.6277,2,0.7162,-0.3305,2,-0.2469,0.6123,1,0.7115,label_powerset
2,KNeighborsClassifier(),{'classifier': KNeighborsClassifier()},0.1258,4,0.3433,0.6114,4,0.7161,-0.3488,4,-0.2573,0.59,4,0.6841,label_powerset
3,LinearSVC(),{'classifier': LinearSVC()},0.1112,5,0.606,0.5714,6,0.8188,-0.3608,5,-0.1542,0.589,5,0.8311,label_powerset
4,SVC(),{'classifier': SVC()},0.1376,2,0.5427,0.6514,1,0.815,-0.3289,1,-0.1688,0.6025,3,0.774,label_powerset
5,DecisionTreeClassifier(),{'classifier': DecisionTreeClassifier()},0.0915,6,0.9976,0.575,5,0.9995,-0.3645,6,-0.0004,0.5804,6,0.9991,label_powerset

,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision,model
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1495,1,0.9976,0.6275,3,0.9995,-0.3366,3,-0.0004,0.603,2,0.9993,label_powerset
1,MultinomialNB(),{'classifier': MultinomialNB()},0.1376,2,0.3553,0.6277,2,0.7162,-0.3305,2,-0.2469,0.6123,1,0.7115,label_powerset
2,KNeighborsClassifier(),{'classifier': KNeighborsClassifier()},0.1258,4,0.3433,0.6114,4,0.7161,-0.3488,4,-0.2573,0.59,4,0.6841,label_powerset
3,LinearSVC(),{'classifier': LinearSVC()},0.1112,5,0.606,0.5714,6,0.8188,-0.3608,5,-0.1542,0.589,5,0.8311,label_powerset
4,SVC(),{'classifier': SVC()},0.1376,2,0.5427,0.6514,1,0.815,-0.3289,1,-0.1688,0.6025,3,0.774,label_powerset
5,DecisionTreeClassifier(),{'classifier': DecisionTreeClassifier()},0.0915,6,0.9976,0.575,5,0.9995,-0.3645,6,-0.0004,0.5804,6,0.9991,label_powerset

,accuracy,f1_micro,hamming_loss,precision,model
0,0.1773,0.6685,-0.2837,0.663,binary_relevance
0,0.1844,0.6509,-0.3132,0.6175,classifier_chain
0,0.2695,0.6913,-0.2967,0.6189,label_powerset

,param_classifier,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision,model
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1404,2,0.9976,0.6457,3,0.9995,-0.3023,1,-0.0004,0.6558,1,0.9992,binary_relevance
0,RandomForestClassifier(),{'classifier': RandomForestClassifier()},0.1304,2,0.9973,0.6478,2,0.9995,-0.3113,1,-0.0004,0.6352,1,0.9992,classifier_chain
4,SVC(),{'classifier': SVC()},0.1376,2,0.5427,0.6514,1,0.815,-0.3289,1,-0.1688,0.6025,3,0.774,label_powerset

